,S&P 500,S&P 500 daily exposure,S&P/Gold/BTC 60/30/10 daily exposure,Static HMM daily exposure,Static HMM/Gold/BTC 60/30/10 daily exposure,Static HMM with momentum/Gold/BTC 60/30/10 daily exposure
2016-01-04,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2016-01-05,10016.913184434807,10212.241878161722,10212.070419080772,10207.50918812194,10182.782775825142,10209.255370840636
2016-01-06,9890.5568876795,10078.956204703187,10161.960908557743,10086.815451522438,10131.977220747656,10167.815994801262
2016-01-07,9653.268493322916,9862.755258769577,10156.275812841794,9818.859609552697,10123.14282694178,10134.37721263048
2016-01-08,9547.308061894371,9762.847033220109,10060.33538665886,9720.189356514897,10021.920097998955,10039.229120695716
2016-01-09,9547.308061894371,9762.847033220109,10047.068260694492,9720.189356514897,10008.536194833783,10025.772685866785
2016-01-10,9547.308061894371,9762.847033220109,10047.96549436587,9720.189356514897,10009.441325953097,10026.68272218193
2016-01-11,9556.759256764646,9523.587006493219,9795.066035191752,9521.110258112249,9798.73230102957,9797.467861727431
2016-01-12,9633.866781618486,9847.282059237581,10033.062316984026,9853.580496917002,10052.709566737454,10039.45633249941
2016-01-13,9393.593232211655,9629.25480845947,9911.668190091348,9634.290636176878,9961.281759960813,9918.690705934658
2016-01-14,9547.80738385825,9772.249338764987,9947.369501287732,9813.561407694575,10005.775146672087,9974.419742398788
2016-01-15,9342.852780846153,9568.80407630342,9722.284674391036,9508.395978513974,9758.86922047135,9688.574618899887
2016-01-16,9342.852780846153,9568.80407630342,9777.160477245723,9508.395978513974,9814.228039969314,9744.233445595479
2016-01-17,9342.852780846153,9568.80407630342,9764.775890255654,9508.395978513974,9801.734443883703,9731.672142705715
2016-01-18,9342.852780846153,9380.554745447793,9583.958940526938,9508.395978513974,9733.269724457483,9662.836391006811
2016-01-19,9355.289130766676,9574.941665698047,9756.036774920192,9720.18876003109,9922.501652779436,9844.94006758159
2016-01-20,9235.397975770313,9457.708626205891,9831.944332745663,9616.566655270859,9975.200027978723,9931.692427112741
