ticker,in_cache,is_benchmark,kind
AAV.BK,True,False,set100_member
ACE.BK,True,False,set100_member
ACL.BK,False,False,set100_member
ADVANC.BK,True,False,set100_member
AEONTS.BK,True,False,set100_member
AH.BK,True,False,set100_member
AI.BK,True,False,set100_member
AJ.BK,True,False,set100_member
AJD.BK,False,False,set100_member
ALT.BK,True,False,set100_member
AMATA.BK,True,False,set100_member
ANAN.BK,True,False,set100_member
AOT.BK,True,False,set100_member
AP.BK,True,False,set100_member
AREEYA.BK,False,False,set100_member
ASIAN.BK,True,False,set100_member
ASL.BK,False,False,set100_member
ASP.BK,True,False,set100_member
ATC.BK,False,False,set100_member
AURA.BK,True,False,set100_member
AWC.BK,True,False,set100_member
BA.BK,True,False,set100_member
BAFS.BK,True,False,set100_member
BAM.BK,True,False,set100_member
BANPU.BK,True,False,set100_member
BAY.BK,True,False,set100_member
BBL.BK,True,False,set100_member
BCH.BK,True,False,set100_member
BCP.BK,True,False,set100_member
BCPG.BK,True,False,set100_member
BDMS.BK,True,False,set100_member
BEAUTY.BK,True,False,set100_member
BEC.BK,True,False,set100_member
BECL.BK,False,False,set100_member
BEM.BK,True,False,set100_member
BFIT.BK,False,False,set100_member
BGC.BK,True,False,set100_member
BGH.BK,False,False,set100_member
BGRIM.BK,True,False,set100_member
BH.BK,True,False,set100_member
BIG.BK,True,False,set100_member
BIGC.BK,False,False,set100_member
BJC.BK,True,False,set100_member
BJCHI.BK,True,False,set100_member
BLA.BK,True,False,set100_member
BLAND.BK,True,False,set100_member
BLS.BK,False,False,set100_member
BMCL.BK,False,False,set100_member
BPP.BK,True,False,set100_member
BSEC.BK,False,False,set100_member
BSRC.BK,False,False,set100_member
BT.BK,False,False,set100_member
BTG.BK,True,False,set100_member
BTS.BK,True,False,set100_member
BWG.BK,True,False,set100_member
BYD.BK,True,False,set100_member
CBG.BK,True,False,set100_member
CCET.BK,True,False,set100_member
CENTEL.BK,True,False,set100_member
CGS.BK,False,False,set100_member
CHG.BK,True,False,set100_member
CK.BK,True,False,set100_member
CKP.BK,True,False,set100_member
CNS.BK,False,False,set100_member
COCOCO.BK,True,False,set100_member
COM7.BK,True,False,set100_member
CP7-11.BK,False,False,set100_member
CPALL.BK,True,False,set100_member
CPF.BK,True,False,set100_member
CPN.BK,True,False,set100_member
CRC.BK,True,False,set100_member
CSL.BK,True,False,set100_member
DCC.BK,True,False,set100_member
DDD.BK,True,False,set100_member
DELTA.BK,True,False,set100_member
DEMCO.BK,True,False,set100_member
DOHOME.BK,True,False,set100_member
DTAC.BK,False,False,set100_member
EA.BK,True,False,set100_member
EARTH.BK,False,False,set100_member
EE.BK,False,False,set100_member
EGCO.BK,True,False,set100_member
EGCOMP.BK,False,False,set100_member
EMC.BK,True,False,set100_member
EPG.BK,True,False,set100_member
ERAWAN.BK,False,False,set100_member
ERW.BK,True,False,set100_member
ESSO.BK,False,False,set100_member
ESTAR.BK,True,False,set100_member
FNS.BK,True,False,set100_member
FORTH.BK,True,False,set100_member
GBX.BK,True,False,set100_member
GFPT.BK,True,False,set100_member
GGC.BK,True,False,set100_member
GJS.BK,True,False,set100_member
GL.BK,False,False,set100_member
GLOBAL.BK,True,False,set100_member
GLOW.BK,False,False,set100_member
GOLD.BK,False,False,set100_member
GPSC.BK,True,False,set100_member
GSTEEL.BK,True,False,set100_member
GULF.BK,True,False,set100_member
GUNKUL.BK,True,False,set100_member
HANA.BK,True,False,set100_member
HEMRAJ.BK,False,False,set100_member
HMPRO.BK,True,False,set100_member
ICHI.BK,True,False,set100_member
IEC.BK,False,False,set100_member
IFEC.BK,False,False,set100_member
INOX.BK,True,False,set100_member
INTUCH.BK,False,False,set100_member
IRP.BK,False,False,set100_member
IRPC.BK,True,False,set100_member
ITC.BK,True,False,set100_member
ITD.BK,True,False,set100_member
ITV.BK,False,False,set100_member
IVL.BK,True,False,set100_member
JAS.BK,True,False,set100_member
JMART.BK,True,False,set100_member
JMT.BK,True,False,set100_member
JTS.BK,True,False,set100_member
JWD.BK,False,False,set100_member
KAMART.BK,True,False,set100_member
KBANK.BK,True,False,set100_member
KBS.BK,True,False,set100_member
KCE.BK,True,False,set100_member
KEST.BK,False,False,set100_member
KEX.BK,False,False,set100_member
KGI.BK,True,False,set100_member
KH.BK,False,False,set100_member
KK.BK,True,False,set100_member
KKC.BK,True,False,set100_member
KKP.BK,True,False,set100_member
KMC.BK,False,False,set100_member
KSL.BK,True,False,set100_member
KTB.BK,True,False,set100_member
KTC.BK,True,False,set100_member
KTIS.BK,True,False,set100_member
KYE.BK,True,False,set100_member
LALIN.BK,True,False,set100_member
LANNA.BK,True,False,set100_member
LH.BK,True,False,set100_member
LHBANK.BK,False,False,set100_member
LOXLEY.BK,True,False,set100_member
LPN.BK,True,False,set100_member
M.BK,True,False,set100_member
MAJOR.BK,True,False,set100_member
MAKRO.BK,False,False,set100_member
MALEE.BK,True,False,set100_member
MBK.BK,True,False,set100_member
MC.BK,True,False,set100_member
MCOT.BK,True,False,set100_member
MCS.BK,True,False,set100_member
MDX.BK,True,False,set100_member
MEGA.BK,True,False,set100_member
METRO.BK,False,False,set100_member
MIDA.BK,True,False,set100_member
MILL.BK,True,False,set100_member
MINT.BK,True,False,set100_member
MJD.BK,True,False,set100_member
MONO.BK,True,False,set100_member
MOSHI.BK,True,False,set100_member
MS.BK,False,False,set100_member
MTC.BK,True,False,set100_member
MTLS.BK,False,False,set100_member
N-PARK.BK,False,False,set100_member
NCH.BK,True,False,set100_member
NEX.BK,True,False,set100_member
NFS.BK,False,False,set100_member
NNCL.BK,True,False,set100_member
NOBLE.BK,True,False,set100_member
NOK.BK,True,False,set100_member
NPC.BK,False,False,set100_member
NRF.BK,True,False,set100_member
NSM.BK,False,False,set100_member
NWR.BK,True,False,set100_member
NYT.BK,True,False,set100_member
OISHI.BK,False,False,set100_member
ONEE.BK,True,False,set100_member
OR.BK,True,False,set100_member
ORI.BK,True,False,set100_member
OSP.BK,True,False,set100_member
PF.BK,True,False,set100_member
PHATRA.BK,False,False,set100_member
PICNI.BK,False,False,set100_member
PLANB.BK,True,False,set100_member
PLAT.BK,True,False,set100_member
PLE.BK,True,False,set100_member
PR9.BK,True,False,set100_member
PRM.BK,True,False,set100_member
PS.BK,True,False,set100_member
PSH.BK,True,False,set100_member
PSL.BK,True,False,set100_member
PTG.BK,True,False,set100_member
PTL.BK,True,False,set100_member
PTT.BK,True,False,set100_member
PTTAR.BK,False,False,set100_member
PTTCH.BK,False,False,set100_member
PTTEP.BK,True,False,set100_member
PTTGC.BK,True,False,set100_member
Q-CON.BK,True,False,set100_member
QH.BK,True,False,set100_member
R.BK,False,False,set100_member
R1.BK,False,False,set100_member
RAIMON.BK,False,False,set100_member
RATCH.BK,True,False,set100_member
RBF.BK,True,False,set100_member
RCL.BK,True,False,set100_member
RICH.BK,False,False,set100_member
RML.BK,True,False,set100_member
ROBINS.BK,False,False,set100_member
ROJANA.BK,False,False,set100_member
ROJNA.BK,True,False,set100_member
RPC.BK,True,False,set100_member
RRC.BK,False,False,set100_member
RS.BK,True,False,set100_member
S.BK,True,False,set100_member
SABUY.BK,False,False,set100_member
SAM.BK,True,False,set100_member
SAMART.BK,True,False,set100_member
SAMTEL.BK,True,False,set100_member
SAPPE.BK,True,False,set100_member
SAT.BK,True,False,set100_member
SATTEL.BK,False,False,set100_member
SAWAD.BK,True,False,set100_member
SC.BK,True,False,set100_member
SCB.BK,True,False,set100_member
SCC.BK,True,False,set100_member
SCCC.BK,True,False,set100_member
SCGP.BK,True,False,set100_member
SCIB.BK,False,False,set100_member
SCN.BK,True,False,set100_member
SF.BK,False,False,set100_member
SGP.BK,True,False,set100_member
SHIN.BK,False,False,set100_member
SIAM.BK,True,False,set100_member
SICCO.BK,False,False,set100_member
SIM.BK,True,False,set100_member
SINGER.BK,True,False,set100_member
SINGHA.BK,False,False,set100_member
SIRI.BK,True,False,set100_member
SISB.BK,True,False,set100_member
SITHAI.BK,True,False,set100_member
SJWD.BK,True,False,set100_member
SKY.BK,True,False,set100_member
SMT.BK,True,False,set100_member
SNNP.BK,True,False,set100_member
SOLAR.BK,True,False,set100_member
SPALI.BK,True,False,set100_member
SPCG.BK,True,False,set100_member
SPL.BK,False,False,set100_member
SPRC.BK,True,False,set100_member
SRICHA.BK,True,False,set100_member
SSI.BK,False,False,set100_member
STA.BK,True,False,set100_member
STANLY.BK,True,False,set100_member
STARK.BK,False,False,set100_member
STEC.BK,False,False,set100_member
STECON.BK,True,False,set100_member
STGT.BK,True,False,set100_member
STPI.BK,True,False,set100_member
SUPER.BK,True,False,set100_member
SUSCO.BK,True,False,set100_member
SVI.BK,True,False,set100_member
SYMC.BK,True,False,set100_member
SYNEX.BK,True,False,set100_member
SYNTEC.BK,True,False,set100_member
T.BK,False,False,set100_member
TASCO.BK,True,False,set100_member
TCAP.BK,True,False,set100_member
TCC.BK,True,False,set100_member
TCP.BK,False,False,set100_member
TFD.BK,False,False,set100_member
TFG.BK,True,False,set100_member
TFI.BK,True,False,set100_member
THAI.BK,True,False,set100_member
THANI.BK,True,False,set100_member
THCOM.BK,True,False,set100_member
THG.BK,True,False,set100_member
THRE.BK,True,False,set100_member
THREL.BK,True,False,set100_member
TICON.BK,False,False,set100_member
TIDLOR.BK,True,False,set100_member
TIPCO.BK,True,False,set100_member
TIPH.BK,True,False,set100_member
TISCO.BK,True,False,set100_member
TK.BK,True,False,set100_member
TKN.BK,True,False,set100_member
TLI.BK,True,False,set100_member
TMB.BK,False,False,set100_member
TNITY.BK,True,False,set100_member
TNX.BK,False,False,set100_member
TOA.BK,True,False,set100_member
TOC.BK,False,False,set100_member
TOP.BK,True,False,set100_member
TPC.BK,False,False,set100_member
TPI.BK,False,False,set100_member
TPIPL.BK,True,False,set100_member
TPIPP.BK,True,False,set100_member
TQM.BK,True,False,set100_member
TRC.BK,True,False,set100_member
TRU.BK,True,False,set100_member
TRUE.BK,True,False,set100_member
TSTH.BK,True,False,set100_member
TTA.BK,True,False,set100_member
TTB.BK,True,False,set100_member
TTCL.BK,True,False,set100_member
TTT.BK,True,False,set100_member
TTW.BK,True,False,set100_member
TU.BK,True,False,set100_member
TUCC.BK,False,False,set100_member
TUF.BK,False,False,set100_member
TVO.BK,True,False,set100_member
TWZ.BK,True,False,set100_member
TYCN.BK,True,False,set100_member
TYM.BK,False,False,set100_member
TYONG.BK,False,False,set100_member
U.BK,False,False,set100_member
UBC.BK,False,False,set100_member
UCOM.BK,False,False,set100_member
UNIQ.BK,True,False,set100_member
UV.BK,True,False,set100_member
UVAN.BK,True,False,set100_member
VGI.BK,True,False,set100_member
VIBHA.BK,True,False,set100_member
VNG.BK,True,False,set100_member
VNT.BK,False,False,set100_member
WHA.BK,True,False,set100_member
WHAUP.BK,True,False,set100_member
WORK.BK,True,False,set100_member
YNP.BK,False,False,set100_member
ZMICO.BK,False,False,set100_member
^SET.BK,True,True,benchmark
